100

0,9591
1120,8893
4033,3959
10000,3283

0,5547
5881,7403
8145,7698
10000,522

0,9531
3071,891
8935,8645
10000,2169

0,3068
3912,5498
8409,4920
10000,3339

0,7463
2761,2338
9897,5929
10000,2590

0,573
1100,4009
4579,932
10000,4288

0,9131
5780,2344
7413,8534
10000,9835

0,6611
7413,6605
9525,1034
10000,2080

0,4956
6494,2659
9757,1544
10000,6803

0,7965
1402,2238
1859,7835
10000,1429

0,7665
3723,8199
5877,9024
10000,1575

0,8791
270,8538
1542,536
10000,7157

0,7126
7449,9114
9010,7357
10000,7009

0,6966
6570,8151
7761,6888
10000,4783

0,1270
96,6073
238,9059
10000,9027

0,9517
6303,379
6790,9906
10000,5528

0,5818
3942,7634
5167,2673
10000,7236

0,6250
4306,3388
9779,8955
10000,2873

0,3341
1350,3628
5927,8322
10000,140

0,2032
1693,4820
9916,4567
10000,9028

0,2147
3083,9434
3607,9421
10000,6348

0,6970
31,6242
1108,2178
10000,6263

0,674
6878,8216
9896,991
10000,424

0,6537
9077,2563
9639,8174
10000,7873

0,4396
4630,9152
9015,5886
10000,1443

0,9721
3349,3420
3874,9434
10000,6955

0,4667
9545,3785
9887,1142
10000,5693

0,5920
9794,240
9999,4631
10000,9938

0,5552
5393,3041
8405,8939
10000,9510

0,7551
6814,7770
6907,4877
10000,3403

0,8359
9374,1239
9480,4682
10000,8697

0,4401
1913,5216
5389,472
10000,8724

0,817
4074,4739
4619,4735
10000,2937

0,2040
7435,8127
7861,7163
10000,8968

0,627
2596,9522
8120,710
10000,7614

0,8401
3553,418
5288,1587
10000,3951

0,5873
9316,6117
9921,4748
10000,3215

0,5341
6806,3186
6879,1754
10000,81

0,6387
3432,7011
3782,854
10000,9234

0,5648
582,3458
8319,3648
10000,3476

0,5154
6545,3554
6747,8727
10000,1736

0,1294
4854,8653
9381,5648
10000,6920

0,4244
6629,6244
8632,8748
10000,7822

0,6799
2743,8439
9666,2955
10000,2179

0,6881
4665,71
6010,1525
10000,1693

0,9617
2320,2909
6088,4016
10000,5901

0,1881
3818,1867
7529,1672
10000,7286

0,6923
1317,3080
5636,3995
10000,6048

0,7681
2538,20
4110,6362
10000,8649

0,6885
1772,6785
8216,7262
10000,6948

0,2706
4785,9517
5695,1816
10000,1593

0,9448
9655,309
9695,9354
10000,6829

0,5822
5882,287
8355,2281
10000,6282

0,7344
1964,6089
5430,6193
10000,54

0,98
4583,269
7877,3499
10000,1823

0,4701
6828,6935
7954,1848
10000,128

0,6302
543,8748
7798,9475
10000,5563

0,3660
406,6549
3783,5146
10000,8281

0,212
4149,3888
7117,333
10000,1985

0,8832
710,9635
2949,5088
10000,7082

0,2360
8220,9079
8942,2279
10000,430

0,4297
6103,4792
6663,1121
10000,9034

0,8708
6009,7215
9132,1004
10000,4511

0,8653
545,2616
4665,3628
10000,3544

0,5222
650,7647
1751,2204
10000,6949

0,4801
9484,6423
9982,3885
10000,2006

0,9817
6763,1360
6820,7611
10000,1313

0,4024
513,3820
3199,7025
10000,1239

0,7862
9622,9403
9795,5259
10000,9078

0,9764
5567,6089
8618,8704
10000,1162

0,8182
3558,164
7361,2878
10000,8030

0,1887
3533,1337
5946,9130
10000,6281

0,5448
4454,9114
9498,5881
10000,9867

0,8488
9225,5596
9524,5191
10000,2423

0,8478
3145,9740
4647,1023
10000,313

0,5919
7419,5580
7446,6743
10000,196

0,7892
5752,8256
8299,4721
10000,6366

0,7167
9651,2130
9657,2494
10000,8201

0,9317
943,2969
7651,1619
10000,5885

0,5140
553,9268
7536,4792
10000,2616

0,5559
264,3597
5853,6910
10000,2685

0,1203
4419,6826
7963,6268
10000,1418

0,638
4040,3307
5572,7012
10000,3704

0,9844
9124,8479
9744,3365
10000,8938

0,6520
8156,7759
8240,6795
10000,3237

0,4335
8614,1254
9463,5915
10000,3463

0,80
7929,7798
9782,1199
10000,2566

0,5247
9868,714
9909,3919
10000,7034

0,1114
9190,2630
9594,1374
10000,249

0,7985
6363,4830
7184,3802
10000,9321

0,5438
9435,2374
9823,6754
10000,261

0,9660
4638,8799
6586,5809
10000,7686

0,6850
9201,6531
9765,4925
10000,5821

0,2789
2170,5582
2380,6412
10000,6014

0,4083
2626,9659
8072,3127
10000,6103

0,6754
9858,5508
9901,8960
10000,6671

0,9333
9896,3724
9974,1067
10000,6247

0,3921
7663,5854
9476,9610
10000,3878

0,1614
3253,5541
5273,4488
10000,4178

0,2355
792,5725
6770,4475
10000,9990

